EVY,,34 Squadron, Royal Australian Air Force,Australia,,
,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,ICAO code no longer allocated
G8,AGB,Air Service Gabon,,Gabon,defunct
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
,MVM,Air Cargo America,PEGASUS,United States,
,AMY,Air Ambar,AIR AMBAR,Dominican Republic,
6V,VGA,Air Vegas,AIR VEGAS,United States,defunct
,AOU,Air Tractor,AIR TRACTOR,Croatia,
,APA,Air Park Aviation Ltd.,CAN-AM,Canada,
,APG,Air People International,AIR PEOPLE,Thailand,
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,Former ICAO code: AAT
,NGO,Air-Angol,AIR ANGOL,Angola,
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany,
,NGP,Air Nigeria,REGAL EAGLE,Nigeria,defunct
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
,SND,Air Samarkand,ARSAM,Uzbekistan,
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal,defunct
,SNY,Air Sandy,AIR SANDY,Canada,
,AII,Air Integra,INTEGRA,Canada,
,BFF,Air Baffin,AIR BAFFIN,Canada,renamed to�Air Nunavut
,BDM,Air Bandama,BANDAMA,Ivory Coast,
AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
,ARX,Air Xpress, Inc.,AIREX,United States,
,HTT,Air Tchad,HOTEL TANGO,Chad,
,ARZ,Air Resorts,AIR RESORTS,United States,
,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,
,ASC,Air Star Corporation,AIR STAR,Canada,
4D,ASD,Air Sinai,AIR SINAI,Egypt,
,AQN,Air Queensland,BUSHAIR,Australia,defunct
,ARC,Air Routing International Corp.,,United States,
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
,ABR,ASL Airlines Ireland,CONTRACT,Ireland,Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors
,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
AI,AIC,Air India�Limited,AIRINDIA,India,
,AIG,Air Inter Gabon,,Gabon,
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
,ATJ,Air Traffic GmbH,SNOOPY,Germany,
8C,ATN,Air Transport International,AIR TRANSPORT,United States,
,ATQ,Air Transport Schiphol,MULTI,Netherlands,
,ATS,Air Transport Service,,Democratic Republic of the Congo,
,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
,AUX,Air Uganda International Ltd.,,Uganda,
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
ZB,BUB,Air Bourbon,BOURBON,Reunion,defunct
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
,AIE,Air Inuit,AIR INUIT,Canada,
,AIS,Air Sureste,SURESTE,Spain,
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina,defunct
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
SW,NMB,Air Namibia,NAMIBIA,Namibia,
,NSK,Air Intersalonika,INTERSALONIKA,Greece,
,NTL,Air Anatolia,AIR ANATOLIA,Turkey,defunct
,SGA,Air Saigon,AIR SAIGON,Vietnam,
,AFW,Afrique Regional Airways,AFRAIR,C�te d'Ivoire,defunct
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
,ACX,Air Charters,PARAIR,Canada,defunct
PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into�Caribbean Airlines; ICAO and IATA codes no longer used.
,AWN,Air Niamey,AIR NIAMEY,Niger,
,AWT,Air West,AIR WEST,Canada,
6G,AWW,Air Wales,RED DRAGON,United Kingdom,defunct, ICAO code no longer allocated
TX,FWI,Air Cara�bes,FRENCH WEST,France,
IX,AXB,Air India Express,EXPRESS INDIA,India,
,AXD,Air Express,AIR SUDEX,Sudan,
,BSB,Air Wings,ARBAS,Moldova,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,
,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
EL,ANK,Air Nippon,ANK AIR,Japan,merged into�All Nippon Airways, ICAO code no longer allocated
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
AC,ACA,Air Canada,AIR CANADA,Canada,
AP,LAV,AlbaStar,ALBASTAR,Spain,
,MHS,Air Memphis,AIR MEMPHIS,Egypt,
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
,AZF,Air Zermatt AG,AIR ZERMATT,Switzerland,
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
,MHU,Air Memphis,MEPHIS UGANDA,Uganda,
,MKH,Air Marrakech Service,AIR MARRAKECH,Morocco,
,AZX,Air Max Africa,AZIMA,Gabon,defunct
S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
,ATA,Air Transport Association,,United States,
TC,ATC,Air Tanzania,TANZANIA,Tanzania,
,XAC,Air Charter World,,United States,
2J,VBW,Air Burkina,BURKINA,Burkina Faso,
,ATH,Air Travel Corp.,AIR TRAVEL,United States,
KM,AMC,Air Malta,AIR MALTA,Malta,
YT,TGA,Air Togo,AIR TOGO,Togo,defunct
,ASJ,Air Satellite,SATELLITE,Canada,defunct
,ASN,Air and Sea Transport,,Russia,
,ASS,Air Class, S.A. de C.V.,AIR CLASS,Mexico,
,NPL,Air Nepal International,AIR NEPAL,Nepal,defunct
,NPR,Air Napier,,New Zealand,
,WAM,Air Taxi & Cargo,TAXI CARGO,Sudan,
,RSM,Air Somalia,AIR SOMALIA,Somali Republic,
,AWZ,AirWest,,Sudan,
G4,AAY,Allegiant Air,ALLEGIANT,United States,
,AAZ,Angus Aviation,ANGUS,Canada,defunct
,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
,ABF,Aerial Oy,SKYWINGS,Finland,
,ABG,Abakan-Avia,ABAKAN-AVIA,Russia,
M3,TUS,ABSA Cargo,Turismo,Brazil,
,ABJ,Abaet� Linhas A�reas,,Brazil,
,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,defunct, ICAO code no longer allocated
,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
,ABU,Aerov�as Bueno,AEROBUENO,Colombia,defunct
,ACR,Aerocenter, Escuela de Formaci�n de Pilotos Privados de Avi�n,AEROCENTER,Spain,
O4,ABV,Antrak Air,ANTRAK,Ghana,
GB,ABX,Airborne Express,ABEX,United States,August 14, 2003 merged into DHL
GB,ABX,ABX Air,ABEX,United States,August 15, 2003 Air operations of former�Airborne Express
,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
,ACD,Academy Airlines,ACADEMY,United States,
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
4G*,,Advance Leasing Company,,United States,
8T,TID,Air Tindi,,Canada,
,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
,ADD,Advanced Air Co.,,Japan,ICAO Code no longer allocated
,ADE,Ada Air,ADA AIR,Albania,defunct, former IATA code: ZY
,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
,ADI,Audeli Air,AUDELI,Spain,
,ADJ,Abidjan Air Cargo,ABICAR,C�te d'Ivoire,defunct
Z7*,ADK,ADC Airlines,ADCO,Nigeria,defunct; former name: Aviation Development Company
,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
,ADN,Aero-Dienst,AERODIENST,Germany,
,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
,ADY,Aerodyne,AERODYNE,United States,
,ADQ,Avion Taxi,AIR DATA,Canada,2695731 Canada Inc.
JP,ADR,Adria Airways,ADRIA,Slovenia,defunct as of September 2019
,ADS,Aviones de Sonora,SONORAV,Mexico,
,ADU,Airdeal Oy,AIRDEAL,Finland,
,ADV,Advance Air Charters,ADVANCE,Canada,defunct
EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
,AEC,Aeroc�sar,AEROCESAR,Colombia,defunct; aka Aerov�as del C�sar
,AED,Aerotrans Airlines,,Russia,defunct
,ADX,Anderson Aviation,ANDAX,United States,
A3,AEE,Aegean Airlines,AEGEAN,Greece,
,AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,defunct
2K,GLG,Aerogal,AEROGAL,Ecuador,Aerol�neas Gal�pagos SA
,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
,AEK,Aerocon,AEROCON,Bolivia,
,AEM,Aero Madrid,AEROMADRID,Spain,
KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
KO,AER,Alaska Central Express,ACE AIR,United States,
VX,AES,ACES Colombia,ACES,Colombia,defunct
KH,AAH,Aloha Air Cargo,ALOHA,United States,
,AAK,Alaska Island Air,ALASKA ISLAND,United States,
AA,AAL,American Airlines,AMERICAN,United States,
AX,�,AmericanConnection,�,United States,
AN,AAA,Ansett Australia,ANSETT,Australia,defunct
,AAC,Army Air Corps,ARMYAIR,United Kingdom,
5W,AEU,Astraeus,FLYSTAR,United Kingdom,defunct, ICAO code no longer allocated
,AEV,Aeroventas,AEROVENTAS,Mexico,
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
,AEZ,Aerial Transit,AERIAL TRANZ,United States,
,AFA,Alfa Air,BLUE ALFA,Czech Republic,
WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
QQ,UTY,Alliance Airlines,UNITY,Australia,
,UVS,Air Universal,UNI-LEONE,Sierra Leone,defunct
,UVT,Auvia Air,AUVIA,Indonesia,
,AFC,African West Air,AFRICAN WEST,Senegal,
,AFE,Airfast Indonesia,AIRFAST,Indonesia,
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia,
,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
,AFZ,Africa Freight Services,AFREIGHT,Zambia,
,AGA,Aeronaves Del Centro,,Venezuela,
,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
5D,SLI,Aerom�xico Connect,COSTERA,Mexico,
,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
,AGH,Altagna,ALTAGNA,France,
,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
,AGP,AERFI Group,AIR TARA,Ireland,
,AGQ,Aerogala,GALASERVICE,Chile,defunct
1A,AGT,Amadeus IT Group,AMADEUS,Spain,
,AGU,Angara Airlines,SARMA,Russia,
,AGW,Aero Gambia,AERO GAMBIA,Gambia,defunct, ICAO code no longer allocated
JJ,AGX,Aviogenex,GENEX,Serbia,defunct
,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
,BLZ,Aero Barloz,AEROLOZ,Mexico,
PL,PLI,Aeroper�,Aeroperu,Peru,defunct
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
,AGY,Aero Flight Service,FLIGHT GROUP,United States,
,AGZ,Agrolet-Mci,AGROLET,Slovakia,
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to�Air Greenland
,AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,Cargo Airline of the State Concern Azerbaijan Hava
,AHE,Airport Helicopter Basel, Muller & Co.,AIRPORT HELICOPTER,Switzerland,
,CJE,Aeroservices Corporate,BIRD JET,France,
,AHF,Aspen Helicopters,ASPEN,United States,
,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
,AHH,Airplanes Holdings,AIRHOLD,Ireland,
,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
U3,AIA,Avies,AVIES,Estonia,
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
,AIH,Air Incheon,AIR INCHEON,South Korea,
RS,ASV,Air Seoul,AIR SEOUL,South Korea,
,AIJ,ABC Aerol�neas,ABC AEROLINEAS,Mexico,
,AIK,African Airlines�International Limited,AFRICAN AIRLINES,Kenya,
,AIN,African International Airways,FLY CARGO,Swaziland,
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
,AIU,Alicante Internacional Airlines,ALIA,Spain,
,ABP,ABS Jets,BAIR,Czech Republic,Named changed from�Aba Air
ED*,ABQ,Airblue,PAKBLUE,Pakistan,
,THM,Airmark Aviation,THAI AIRMARK,Thailand,
,AIR,Airlift International,AIRLIFT,United States,defunct
,AIT,Airest,,Estonia,
,AIV,Airvias S/A Linhas A�reas,AIRVIAS,Brazil,
W4,BES,Aero Services Executive,BIRD EXPRESS,France,
,AIW,Atlantic Island Airways,TARTAN,Canada,
,AIX,Aircruising Australia,CRUISER,Australia,
,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
,AJB,Aero JBR,AERO JBR,Mexico,
,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
,AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria,
,AJI,Ameristar Jet Charter,AMERISTAR,United States,
,AJK,Allied Air,BAMBI,Nigeria,
,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
,AJP,Aero Jets Corporativos,AEROJETS,Mexico,
,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
M6,AJT,Amerijet International,AMERIJET,United States,
,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into�Air Japan
,AJW,Alpha Jet International,ALPHAJET,United States,
,AJY,AJet,AYJET,Cyprus,defunct, ICAO code no longer allocated
,AKB,Aktjubavia,KARAB,Kazakhstan,
,AKC,Arca Aerov�as Colombianas Ltda.,ARCA,Colombia,
,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
,AKH,Akhal,AKHAL,Turkmenistan,
,MNI,Aeromilenio,AEROMIL,Mexico,
,AKK,Aklak Air,AKLAK,Canada,
4A,AKL,Air Kiribati,,Kiribati,
,AKN,Alkan Air,ALKAN AIR,Canada,
,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
